Interval start,Packet Sizes
17.264,80000
17.265,0
17.266,0
17.267,0
17.268,0
17.269,0
17.27,0
17.271,0
17.272,0
17.273,0
17.274,0
17.275,0
17.276,0
17.277,0
17.278,0
17.279,0
17.28,0
17.281,0
17.282,0
17.283,0
17.284,0
17.285,0
17.286,0
17.287,23488
17.288,0
17.289,0
17.29,0
17.291,0
17.292,0
17.293,0
17.294,0
17.295,0
17.296,0
17.297,0
17.298,0
17.299,0
17.3,0
17.301,0
17.302,0
17.303,0
17.304,0
17.305,0
17.306,0
17.307,0
17.308,0
17.309,0
17.31,0
17.311,0
17.312,0
17.313,0
17.314,0
17.315,0
17.316,0
17.317,0
17.318,0
17.319,0
17.32,0
17.321,0
17.322,0
17.323,0
17.324,11904
17.325,0
17.326,0
17.327,0
17.328,0
17.329,0
17.33,0
17.331,0
17.332,0
17.333,0
17.334,0
17.335,0
17.336,0
17.337,0
17.338,0
17.339,0
17.34,0
17.341,0
17.342,0
17.343,0
17.344,0
17.345,0
17.346,0
17.347,0
17.348,0
17.349,0
17.35,0
17.351,0
17.352,0
17.353,0
17.354,0
17.355,0
17.356,0
17.357,0
17.358,0
17.359,0
17.36,0
17.361,0
17.362,0
17.363,0
17.364,0
17.365,0
17.366,0
17.367,0
17.368,0
17.369,2040
17.37,0
17.371,0
17.372,0
17.373,0
17.374,0
17.375,0
17.376,0
17.377,0
17.378,0
17.379,0
17.38,0
17.381,0
17.382,0
17.383,0
17.384,0
17.385,0
17.386,0
17.387,0
17.388,0
17.389,0
17.39,0
17.391,0
17.392,0
17.393,0
17.394,0
17.395,0
17.396,0
17.397,0
17.398,0
17.399,0
17.4,0
17.401,0
17.402,0
17.403,0
17.404,0
17.405,0
17.406,0
17.407,0
17.408,0
17.409,0
17.41,0
17.411,0
17.412,0
17.413,0
17.414,0
17.415,0
17.416,0
17.417,0
17.418,0
17.419,0
17.42,0
17.421,0
17.422,0
17.423,0
17.424,0
17.425,0
17.426,0
17.427,0
17.428,0
17.429,0
17.43,0
17.431,0
17.432,0
17.433,0
17.434,0
17.435,0
17.436,0
17.437,0
17.438,0
17.439,0
17.44,0
17.441,0
17.442,0
17.443,0
17.444,0
17.445,0
17.446,0
17.447,0
17.448,0
17.449,0
17.45,0
17.451,0
17.452,0
17.453,0
17.454,0
17.455,0
17.456,0
17.457,0
17.458,0
17.459,0
17.46,0
17.461,0
17.462,0
17.463,0
17.464,0
17.465,0
17.466,36480
17.467,0
17.468,0
17.469,0
17.47,0
17.471,0
17.472,0
17.473,0
17.474,0
17.475,0
17.476,0
17.477,0
17.478,0
17.479,0
17.48,0
17.481,0
17.482,0
17.483,0
17.484,0
17.485,0
17.486,0
17.487,416
17.488,0
17.489,0
17.49,0
17.491,0
17.492,0
17.493,0
17.494,0
17.495,0
17.496,0
17.497,0
17.498,0
17.499,0
17.5,0
17.501,0
17.502,0
17.503,0
17.504,0
17.505,0
17.506,0
17.507,0
17.508,0
17.509,0
17.51,0
17.511,0
17.512,0
17.513,0
17.514,0
17.515,0
17.516,0
17.517,0
17.518,0
17.519,0
17.52,0
17.521,0
17.522,0
17.523,0
17.524,0
17.525,0
17.526,0
17.527,0
17.528,0
17.529,0
17.53,0
17.531,0
17.532,0
17.533,0
17.534,0
17.535,0
17.536,0
17.537,0
17.538,0
17.539,0
17.54,0
17.541,0
17.542,0
17.543,0
17.544,0
17.545,0
17.546,0
17.547,0
17.548,0
17.549,0
17.55,0
17.551,0
17.552,0
17.553,0
17.554,0
17.555,0
17.556,0
17.557,0
17.558,0
17.559,0
17.56,0
17.561,0
17.562,0
17.563,0
17.564,0
17.565,0
17.566,0
17.567,0
17.568,0
17.569,0
17.57,0
17.571,0
17.572,0
17.573,0
17.574,0
17.575,0
17.576,0
17.577,0
17.578,0
17.579,0
17.58,0
17.581,0
17.582,0
17.583,0
17.584,0
17.585,0
17.586,0
17.587,0
17.588,0
17.589,0
17.59,0
17.591,0
17.592,0
17.593,0
17.594,0
17.595,0
17.596,0
17.597,0
17.598,0
17.599,0
17.6,0
17.601,0
17.602,0
17.603,0
17.604,0
17.605,0
17.606,0
17.607,0
17.608,0
17.609,0
17.61,0
17.611,0
17.612,0
17.613,0
17.614,0
17.615,0
17.616,0
17.617,0
17.618,0
17.619,0
17.62,0
17.621,0
17.622,0
17.623,0
17.624,0
17.625,0
17.626,0
17.627,0
17.628,0
17.629,0
17.63,0
17.631,0
17.632,0
17.633,0
17.634,0
17.635,0
17.636,0
17.637,0
17.638,0
17.639,0
17.64,0
17.641,0
17.642,0
17.643,0
17.644,0
17.645,0
17.646,0
17.647,0
17.648,0
17.649,0
17.65,0
17.651,0
17.652,0
17.653,0
17.654,0
17.655,0
17.656,0
17.657,0
17.658,0
17.659,0
17.66,0
17.661,0
17.662,0
17.663,0
17.664,0
17.665,0
17.666,0
17.667,0
17.668,0
17.669,0
17.67,0
17.671,0
17.672,0
17.673,0
17.674,0
17.675,0
17.676,0
17.677,0
17.678,0
17.679,0
17.68,0
17.681,0
17.682,0
17.683,0
17.684,0
17.685,0
17.686,0
17.687,0
17.688,0
17.689,23488
17.69,0
17.691,0
17.692,0
17.693,0
17.694,0
17.695,0
17.696,0
17.697,0
17.698,0
17.699,0
17.7,0
17.701,416
17.702,0
17.703,0
17.704,0
17.705,0
17.706,0
17.707,0
17.708,0
17.709,0
17.71,0
17.711,0
17.712,0
17.713,0
17.714,0
17.715,0
17.716,0
17.717,0
17.718,0
17.719,0
17.72,0
17.721,0
17.722,0
17.723,0
17.724,0
17.725,0
17.726,0
17.727,0
17.728,0
17.729,0
17.73,0
17.731,0
17.732,0
17.733,0
17.734,0
17.735,0
17.736,0
17.737,0
17.738,0
17.739,0
17.74,0
17.741,0
17.742,0
17.743,0
17.744,0
17.745,0
17.746,0
17.747,0
17.748,0
17.749,0
17.75,0
17.751,0
17.752,0
17.753,0
17.754,0
17.755,0
17.756,0
17.757,0
17.758,0
17.759,0
17.76,0
17.761,0
17.762,0
17.763,0
17.764,0
17.765,0
17.766,0
17.767,0
17.768,0
17.769,0
17.77,0
17.771,0
17.772,0
17.773,0
17.774,0
17.775,0
17.776,0
17.777,0
17.778,0
17.779,0
17.78,0
17.781,0
17.782,0
17.783,0
17.784,0
17.785,0
17.786,0
17.787,0
17.788,0
17.789,0
17.79,0
17.791,0
17.792,0
17.793,0
17.794,0
17.795,0
17.796,0
17.797,0
17.798,0
17.799,0
17.8,0
17.801,0
17.802,0
17.803,0
17.804,0
17.805,0
17.806,0
17.807,0
17.808,0
17.809,0
17.81,0
17.811,0
17.812,0
17.813,0
17.814,0
17.815,0
17.816,0
17.817,0
17.818,0
17.819,0
17.82,0
17.821,0
17.822,0
17.823,0
17.824,0
17.825,0
17.826,0
17.827,0
17.828,0
17.829,0
17.83,0
17.831,0
17.832,0
17.833,0
17.834,0
17.835,0
17.836,0
17.837,0
17.838,0
17.839,0
17.84,0
17.841,0
17.842,0
17.843,0
17.844,0
17.845,0
17.846,0
17.847,0
17.848,0
17.849,0
17.85,0
17.851,0
17.852,0
17.853,0
17.854,0
17.855,0
17.856,0
17.857,0
17.858,0
17.859,0
17.86,0
17.861,0
17.862,0
17.863,0
17.864,0
17.865,0
17.866,0
17.867,0
17.868,0
17.869,0
17.87,0
17.871,0
17.872,0
17.873,0
17.874,0
17.875,0
17.876,0
17.877,0
17.878,0
17.879,0
17.88,0
17.881,0
17.882,0
17.883,0
17.884,0
17.885,0
17.886,0
17.887,0
17.888,0
17.889,0
17.89,0
17.891,0
17.892,0
17.893,0
17.894,0
17.895,0
17.896,0
17.897,0
17.898,0
17.899,0
17.9,0
17.901,0
17.902,0
17.903,0
17.904,0
17.905,0
17.906,0
17.907,0
17.908,0
17.909,0
17.91,0
17.911,0
17.912,0
17.913,0
17.914,0
17.915,0
17.916,0
17.917,0
17.918,0
17.919,0
17.92,0
17.921,0
17.922,0
17.923,0
17.924,0
17.925,0
17.926,0
17.927,0
17.928,0
17.929,0
17.93,0
17.931,0
17.932,0
17.933,0
17.934,0
17.935,0
17.936,0
17.937,0
17.938,0
17.939,0
17.94,0
17.941,0
17.942,0
17.943,0
17.944,0
17.945,0
17.946,0
17.947,0
17.948,0
17.949,0
17.95,0
17.951,0
17.952,0
17.953,0
17.954,0
17.955,0
17.956,0
17.957,0
17.958,0
17.959,0
17.96,0
17.961,0
17.962,0
17.963,0
17.964,0
17.965,0
17.966,0
17.967,0
17.968,0
17.969,0
17.97,0
17.971,0
17.972,0
17.973,0
17.974,0
17.975,0
17.976,0
17.977,0
17.978,80000
17.979,0
17.98,0
17.981,0
17.982,80000
17.983,0
17.984,0
17.985,0
17.986,0
17.987,0
17.988,0
17.989,0
17.99,0
17.991,26752
17.992,0
17.993,0
17.994,0
17.995,0
17.996,0
17.997,0
17.998,0
17.999,0
18,0
18.001,0
18.002,0
18.003,0
18.004,0
18.005,0
18.006,0
18.007,0
18.008,0
18.009,0
18.01,0
18.011,0
18.012,0
18.013,0
18.014,0
18.015,0
18.016,0
18.017,0
18.018,0
18.019,0
18.02,0
18.021,0
18.022,0
18.023,0
18.024,0
18.025,0
18.026,0
18.027,0
18.028,0
18.029,0
18.03,0
18.031,0
18.032,0
18.033,0
18.034,0
18.035,0
18.036,0
18.037,0
18.038,0
18.039,0
18.04,0
18.041,0
18.042,0
18.043,0
18.044,0
18.045,0
18.046,0
18.047,0
18.048,0
18.049,0
18.05,0
18.051,0
18.052,0
18.053,0
18.054,0
18.055,0
18.056,0
18.057,0
18.058,0
18.059,0
18.06,0
18.061,0
18.062,0
18.063,0
18.064,0
18.065,0
18.066,0
18.067,0
18.068,0
18.069,0
18.07,0
18.071,0
18.072,0
18.073,0
18.074,0
18.075,0
18.076,0
18.077,0
18.078,0
18.079,0
18.08,0
18.081,0
18.082,0
18.083,0
18.084,0
18.085,0
18.086,0
18.087,0
18.088,0
18.089,0
18.09,0
18.091,0
18.092,0
18.093,0
18.094,0
18.095,0
18.096,0
18.097,0
18.098,0
18.099,0
18.1,0
18.101,0
18.102,0
18.103,0
18.104,0
18.105,0
18.106,0
18.107,0
18.108,0
18.109,0
18.11,0
18.111,0
18.112,0
18.113,0
18.114,0
18.115,0
18.116,0
18.117,0
18.118,0
18.119,0
18.12,0
18.121,0
18.122,0
18.123,0
18.124,0
18.125,0
18.126,0
18.127,0
18.128,0
18.129,0
18.13,0
18.131,0
18.132,0
18.133,0
18.134,0
18.135,0
18.136,0
18.137,0
18.138,0
18.139,0
18.14,0
18.141,0
18.142,0
18.143,0
18.144,0
18.145,0
18.146,0
18.147,0
18.148,0
18.149,0
18.15,0
18.151,0
18.152,0
18.153,0
18.154,0
18.155,0
18.156,0
18.157,0
18.158,0
18.159,0
18.16,0
18.161,0
18.162,0
18.163,0
18.164,0
18.165,0
18.166,0
18.167,0
18.168,0
18.169,0
18.17,0
18.171,0
18.172,0
18.173,0
18.174,0
18.175,0
18.176,0
18.177,0
18.178,0
18.179,0
18.18,0
18.181,0
18.182,0
18.183,80000
18.184,0
18.185,0
18.186,0
18.187,0
18.188,0
18.189,0
18.19,0
18.191,0
18.192,26928
18.193,0
18.194,0
18.195,0
18.196,0
18.197,0
18.198,0
18.199,0
18.2,0
18.201,0
18.202,0
18.203,0
18.204,0
18.205,0
18.206,0
18.207,0
18.208,0
18.209,0
18.21,0
18.211,0
18.212,0
18.213,0
18.214,0
18.215,0
18.216,0
18.217,0
18.218,0
18.219,0
18.22,0
18.221,0
18.222,0
18.223,0
18.224,0
18.225,0
18.226,0
18.227,0
18.228,0
18.229,0
18.23,0
18.231,0
18.232,0
18.233,0
18.234,0
18.235,0
18.236,0
18.237,0
18.238,0
18.239,0
18.24,0
18.241,0
18.242,0
18.243,0
18.244,0
18.245,0
18.246,0
18.247,0
18.248,0
18.249,0
18.25,0
18.251,0
18.252,0
18.253,0
18.254,0
18.255,0
18.256,0
18.257,0
18.258,0
18.259,0
18.26,0
18.261,0
18.262,0
18.263,0
18.264,0
18.265,0
18.266,0
18.267,0
18.268,0
18.269,0
18.27,0
18.271,0
18.272,0
18.273,0
18.274,0
18.275,0
18.276,0
18.277,0
18.278,0
18.279,0
18.28,0
18.281,0
18.282,0
18.283,0
18.284,0
18.285,0
18.286,0
18.287,0
18.288,0
18.289,0
18.29,0
18.291,0
18.292,0
18.293,0
18.294,0
18.295,0
18.296,0
18.297,0
18.298,0
18.299,0
18.3,0
18.301,0
18.302,0
18.303,0
18.304,0
18.305,0
18.306,0
18.307,0
18.308,0
18.309,0
18.31,0
18.311,0
18.312,0
18.313,0
18.314,0
18.315,0
18.316,0
18.317,0
18.318,0
18.319,0
18.32,0
18.321,0
18.322,0
18.323,0
18.324,0
18.325,0
18.326,0
18.327,0
18.328,0
18.329,0
18.33,0
18.331,0
18.332,0
18.333,0
18.334,0
18.335,0
18.336,0
18.337,0
18.338,0
18.339,0
18.34,0
18.341,0
18.342,0
18.343,0
18.344,0
18.345,0
18.346,0
18.347,0
18.348,0
18.349,0
18.35,0
18.351,0
18.352,0
18.353,0
18.354,0
18.355,0
18.356,0
18.357,0
18.358,0
18.359,0
18.36,0
18.361,0
18.362,0
18.363,0
18.364,0
18.365,0
18.366,0
18.367,0
18.368,0
18.369,0
18.37,0
18.371,0
18.372,0
18.373,0
18.374,0
18.375,0
18.376,0
18.377,0
18.378,0
18.379,0
18.38,0
18.381,0
18.382,0
18.383,0
18.384,0
18.385,0
18.386,80000
18.387,0
18.388,80000
18.389,26752
18.39,0
18.391,0
18.392,0
18.393,0
18.394,0
18.395,0
18.396,0
18.397,0
18.398,0
18.399,0
18.4,0
18.401,0
18.402,0
18.403,0
18.404,0
18.405,0
18.406,0
18.407,0
18.408,0
18.409,0
18.41,0
18.411,0
18.412,0
18.413,0
18.414,0
18.415,0
18.416,0
18.417,0
18.418,0
18.419,0
18.42,0
18.421,0
18.422,0
18.423,0
18.424,0
18.425,0
18.426,0
18.427,0
18.428,0
18.429,0
18.43,0
18.431,0
18.432,0
18.433,0
18.434,0
18.435,0
18.436,0
18.437,0
18.438,0
18.439,0
18.44,0
18.441,0
18.442,0
18.443,0
18.444,0
18.445,0
18.446,0
18.447,0
18.448,0
18.449,0
18.45,0
18.451,0
18.452,0
18.453,0
18.454,0
18.455,0
18.456,0
18.457,0
18.458,0
18.459,0
18.46,0
18.461,0
18.462,0
18.463,0
18.464,0
18.465,0
18.466,0
18.467,0
18.468,0
18.469,0
18.47,0
18.471,0
18.472,0
18.473,0
18.474,0
18.475,0
18.476,0
18.477,0
18.478,0
18.479,0
18.48,0
18.481,0
18.482,0
18.483,0
18.484,0
18.485,0
18.486,0
18.487,0
18.488,0
18.489,0
18.49,0
18.491,0
18.492,0
18.493,0
18.494,0
18.495,0
18.496,0
18.497,0
18.498,0
18.499,0
18.5,0
18.501,0
18.502,0
18.503,0
18.504,0
18.505,0
18.506,0
18.507,0
18.508,0
18.509,0
18.51,0
18.511,0
18.512,0
18.513,0
18.514,0
18.515,0
18.516,0
18.517,0
18.518,0
18.519,0
18.52,0
18.521,0
18.522,0
18.523,0
18.524,0
18.525,0
18.526,0
18.527,0
18.528,0
18.529,0
18.53,0
18.531,0
18.532,0
18.533,0
18.534,0
18.535,0
18.536,0
18.537,0
18.538,0
18.539,0
18.54,0
18.541,0
18.542,0
18.543,0
18.544,0
18.545,0
18.546,0
18.547,0
18.548,0
