Interval start,Packet Sizes
15.971,15888
15.972,0
15.973,0
15.974,0
15.975,0
15.976,0
15.977,0
15.978,0
15.979,0
15.98,0
15.981,0
15.982,0
15.983,0
15.984,0
15.985,0
15.986,0
15.987,0
15.988,0
15.989,15888
15.99,0
15.991,0
15.992,0
15.993,0
15.994,0
15.995,0
15.996,0
15.997,0
15.998,0
15.999,0
16,0
16.001,0
16.002,0
16.003,0
16.004,0
16.005,0
16.006,15888
16.007,0
16.008,0
16.009,0
16.01,0
16.011,0
16.012,0
16.013,0
16.014,0
16.015,0
16.016,0
16.017,0
16.018,0
16.019,0
16.02,0
16.021,0
16.022,0
16.023,0
16.024,15888
16.025,0
16.026,0
16.027,0
16.028,0
16.029,0
16.03,0
16.031,0
16.032,0
16.033,0
16.034,0
16.035,0
16.036,0
16.037,0
16.038,0
16.039,0
16.04,0
16.041,15888
16.042,0
16.043,0
16.044,0
16.045,0
16.046,0
16.047,0
16.048,0
16.049,0
16.05,0
16.051,0
16.052,0
16.053,0
16.054,0
16.055,0
16.056,0
16.057,0
16.058,0
16.059,15888
16.06,0
16.061,0
16.062,0
16.063,0
16.064,0
16.065,0
16.066,0
16.067,0
16.068,0
16.069,0
16.07,0
16.071,0
16.072,0
16.073,0
16.074,0
16.075,0
16.076,0
16.077,15888
16.078,0
16.079,0
16.08,0
16.081,0
16.082,0
16.083,0
16.084,0
16.085,0
16.086,0
16.087,0
16.088,0
16.089,0
16.09,0
16.091,0
16.092,0
16.093,0
16.094,0
16.095,15888
16.096,0
16.097,0
16.098,0
16.099,0
16.1,0
16.101,0
16.102,0
16.103,0
16.104,0
16.105,0
16.106,0
16.107,0
16.108,0
16.109,0
16.11,0
16.111,0
16.112,0
16.113,0
16.114,15888
16.115,0
16.116,0
16.117,0
16.118,0
16.119,0
16.12,0
16.121,0
16.122,0
16.123,0
16.124,0
16.125,0
16.126,0
16.127,0
16.128,0
16.129,0
16.13,0
16.131,0
16.132,15888
16.133,0
16.134,0
16.135,0
16.136,0
16.137,0
16.138,0
16.139,0
16.14,0
16.141,0
16.142,0
16.143,0
16.144,0
16.145,0
16.146,0
16.147,0
16.148,0
16.149,0
16.15,0
16.151,0
16.152,0
16.153,15888
16.154,0
16.155,0
16.156,0
16.157,0
16.158,0
16.159,0
16.16,0
16.161,0
16.162,0
16.163,0
16.164,0
16.165,0
16.166,0
16.167,0
16.168,0
16.169,0
16.17,15888
16.171,0
16.172,0
16.173,0
16.174,0
16.175,0
16.176,0
16.177,0
16.178,0
16.179,0
16.18,0
16.181,0
16.182,0
16.183,0
16.184,0
16.185,0
16.186,0
16.187,15888
16.188,0
16.189,0
16.19,0
16.191,0
16.192,0
16.193,0
16.194,0
16.195,0
16.196,0
16.197,0
16.198,0
16.199,0
16.2,0
16.201,0
16.202,0
16.203,0
16.204,0
16.205,15888
16.206,0
16.207,0
16.208,0
16.209,0
16.21,0
16.211,0
16.212,0
16.213,0
16.214,0
16.215,0
16.216,0
16.217,0
16.218,0
16.219,0
16.22,0
16.221,0
16.222,0
16.223,0
16.224,15888
16.225,0
16.226,0
16.227,0
16.228,0
16.229,0
16.23,0
16.231,0
16.232,0
16.233,0
16.234,0
16.235,0
16.236,0
16.237,0
16.238,0
16.239,0
16.24,0
16.241,15888
16.242,0
16.243,0
16.244,0
16.245,0
16.246,0
16.247,0
16.248,0
