interval,time,sent_throughput,recv_throughput
0,2025-11-17 10:06:15,14493,16250
1,2025-11-17 10:06:16,42047,58027
2,2025-11-17 10:06:17,46303,62804
3,2025-11-17 10:06:18,55458,61351
4,2025-11-17 10:06:19,65538,39271
5,2025-11-17 10:06:20,43874,39693
6,2025-11-17 10:06:21,40585,44460
7,2025-11-17 10:06:22,40630,40949
8,2025-11-17 10:06:23,39157,40443
9,2025-11-17 10:06:24,41254,40850
10,2025-11-17 10:06:25,41806,46717
11,2025-11-17 10:06:26,48849,41572
12,2025-11-17 10:06:27,45408,42393
13,2025-11-17 10:06:28,41555,42665
14,2025-11-17 10:06:29,45670,46151
15,2025-11-17 10:06:30,43099,52376
16,2025-11-17 10:06:31,44405,45533
17,2025-11-17 10:06:32,53433,51938
18,2025-11-17 10:06:33,54004,51480
19,2025-11-17 10:06:34,40956,46316
20,2025-11-17 10:06:35,53361,60454
21,2025-11-17 10:06:36,42462,48858
22,2025-11-17 10:06:37,39988,54932
23,2025-11-17 10:06:38,48914,56375
24,2025-11-17 10:06:39,48704,58670
25,2025-11-17 10:06:40,50355,50022
26,2025-11-17 10:06:41,47324,59050
27,2025-11-17 10:06:42,48675,58864
28,2025-11-17 10:06:43,49982,52526
29,2025-11-17 10:06:44,45055,46621
30,2025-11-17 10:06:45,38869,54083
31,2025-11-17 10:06:46,40983,48468
32,2025-11-17 10:06:47,47796,47820
33,2025-11-17 10:06:48,38798,48495
34,2025-11-17 10:06:49,50131,49471
35,2025-11-17 10:06:50,43450,51480
36,2025-11-17 10:06:51,47463,48559
37,2025-11-17 10:06:52,44429,53749
38,2025-11-17 10:06:53,44326,54517
39,2025-11-17 10:06:54,44073,56422
40,2025-11-17 10:06:55,57201,51413
41,2025-11-17 10:06:56,47014,55193
42,2025-11-17 10:06:57,40887,57193
43,2025-11-17 10:06:58,45173,56835
44,2025-11-17 10:06:59,50372,57868
45,2025-11-17 10:07:00,43261,50759
46,2025-11-17 10:07:01,45704,58193
47,2025-11-17 10:07:02,48336,55199
48,2025-11-17 10:07:03,71192,41381
49,2025-11-17 10:07:04,44711,40734
50,2025-11-17 10:07:05,42024,45150
51,2025-11-17 10:07:06,37444,44979
52,2025-11-17 10:07:07,41676,45720
53,2025-11-17 10:07:08,44721,45695
54,2025-11-17 10:07:09,44995,49844
55,2025-11-17 10:07:10,43793,48944
56,2025-11-17 10:07:11,46827,46654
57,2025-11-17 10:07:12,43023,51218
58,2025-11-17 10:07:13,44390,52562
59,2025-11-17 10:07:14,44741,53284
60,2025-11-17 10:07:15,46654,49902
61,2025-11-17 10:07:16,54440,57330
62,2025-11-17 10:07:17,46929,59581
63,2025-11-17 10:07:18,43244,52076
64,2025-11-17 10:07:19,46584,46674
65,2025-11-17 10:07:20,55876,56179
66,2025-11-17 10:07:21,50018,52453
67,2025-11-17 10:07:22,55693,52608
68,2025-11-17 10:07:23,45879,53604
69,2025-11-17 10:07:24,59819,59018
70,2025-11-17 10:07:25,41962,47788
71,2025-11-17 10:07:26,53015,53361
72,2025-11-17 10:07:27,46018,48014
73,2025-11-17 10:07:28,38829,51369
74,2025-11-17 10:07:29,62808,51775
75,2025-11-17 10:07:30,46177,53013
76,2025-11-17 10:07:31,45244,50640
77,2025-11-17 10:07:32,40504,51780
78,2025-11-17 10:07:33,51666,55650
79,2025-11-17 10:07:34,48143,51884
80,2025-11-17 10:07:35,47324,57143
81,2025-11-17 10:07:36,48821,49789
82,2025-11-17 10:07:37,49170,59743
83,2025-11-17 10:07:38,36962,55673
84,2025-11-17 10:07:39,36649,54450
85,2025-11-17 10:07:40,36056,49545
86,2025-11-17 10:07:41,38687,54319
87,2025-11-17 10:07:42,35076,54307
88,2025-11-17 10:07:43,48357,57784
89,2025-11-17 10:07:44,38577,49509
90,2025-11-17 10:07:45,36946,54007
91,2025-11-17 10:07:46,46137,49731
92,2025-11-17 10:07:47,40829,44257
93,2025-11-17 10:07:48,40173,57641
94,2025-11-17 10:07:49,39513,54624
95,2025-11-17 10:07:50,45407,55575
96,2025-11-17 10:07:51,39542,60393
97,2025-11-17 10:07:52,39721,56964
98,2025-11-17 10:07:53,44524,51667
99,2025-11-17 10:07:54,39402,48893
100,2025-11-17 10:07:55,41016,58844
101,2025-11-17 10:07:56,40981,62702
102,2025-11-17 10:07:57,45109,57732
103,2025-11-17 10:07:58,38855,43230
104,2025-11-17 10:07:59,37642,41809
105,2025-11-17 10:08:00,37583,46290
106,2025-11-17 10:08:01,36883,44654
107,2025-11-17 10:08:02,36793,48099
108,2025-11-17 10:08:03,40077,46194
109,2025-11-17 10:08:04,45312,48858
110,2025-11-17 10:08:05,39446,49562
111,2025-11-17 10:08:06,37785,49036
112,2025-11-17 10:08:07,47983,55447
113,2025-11-17 10:08:08,41925,49930
114,2025-11-17 10:08:09,44671,51504
115,2025-11-17 10:08:10,42029,57665
116,2025-11-17 10:08:11,48253,54498
117,2025-11-17 10:08:12,44225,57214
118,2025-11-17 10:08:13,39844,62323
119,2025-11-17 10:08:14,53098,57804
120,2025-11-17 10:08:15,46294,54188
121,2025-11-17 10:08:16,39568,66739
122,2025-11-17 10:08:17,56773,58751
123,2025-11-17 10:08:18,51544,54320
124,2025-11-17 10:08:19,48148,53831
125,2025-11-17 10:08:20,44836,55148
126,2025-11-17 10:08:21,50383,47434
127,2025-11-17 10:08:22,60621,55248
128,2025-11-17 10:08:23,39994,49801
129,2025-11-17 10:08:24,39442,52818
130,2025-11-17 10:08:25,46209,53372
131,2025-11-17 10:08:26,36094,52646
132,2025-11-17 10:08:27,41958,50169
133,2025-11-17 10:08:28,38642,51640
134,2025-11-17 10:08:29,35639,62507
135,2025-11-17 10:08:30,41291,58869
136,2025-11-17 10:08:31,37581,55971
137,2025-11-17 10:08:32,44029,55972
138,2025-11-17 10:08:33,37265,50091
139,2025-11-17 10:08:34,36770,56778
140,2025-11-17 10:08:35,33981,59349
141,2025-11-17 10:08:36,35792,56954
142,2025-11-17 10:08:37,36384,56670
143,2025-11-17 10:08:38,34690,57660
144,2025-11-17 10:08:39,37686,55701
145,2025-11-17 10:08:40,37460,58541
146,2025-11-17 10:08:41,34002,56943
147,2025-11-17 10:08:42,33655,56094
148,2025-11-17 10:08:43,33282,59668
149,2025-11-17 10:08:44,33671,50669
150,2025-11-17 10:08:45,33607,48635
151,2025-11-17 10:08:46,41546,51854
152,2025-11-17 10:08:47,35634,50921
153,2025-11-17 10:08:48,35746,53948
154,2025-11-17 10:08:49,34983,50554
155,2025-11-17 10:08:50,41515,51804
156,2025-11-17 10:08:51,37858,50673
157,2025-11-17 10:08:52,38848,55412
158,2025-11-17 10:08:53,43035,56065
159,2025-11-17 10:08:54,38226,59769
160,2025-11-17 10:08:55,37831,56089
161,2025-11-17 10:08:56,41800,59735
162,2025-11-17 10:08:57,41361,58969
163,2025-11-17 10:08:58,44623,54876
164,2025-11-17 10:08:59,37594,64046
165,2025-11-17 10:09:00,44671,62245
166,2025-11-17 10:09:01,35886,59443
167,2025-11-17 10:09:02,36050,52100
168,2025-11-17 10:09:03,35330,53858
169,2025-11-17 10:09:04,37039,57622
170,2025-11-17 10:09:05,35079,63353
171,2025-11-17 10:09:06,35111,50845
172,2025-11-17 10:09:07,39171,51939
173,2025-11-17 10:09:08,35926,54839
174,2025-11-17 10:09:09,34514,56730
175,2025-11-17 10:09:10,34407,56613
176,2025-11-17 10:09:11,39179,54091
177,2025-11-17 10:09:12,36466,53691
178,2025-11-17 10:09:13,35111,58094
179,2025-11-17 10:09:14,47713,49642
180,2025-11-17 10:09:15,40201,54799
181,2025-11-17 10:09:16,34444,59915
182,2025-11-17 10:09:17,35307,50747
183,2025-11-17 10:09:18,36166,52639
184,2025-11-17 10:09:19,34498,52216
185,2025-11-17 10:09:20,34183,51439
186,2025-11-17 10:09:21,45842,46220
187,2025-11-17 10:09:22,37104,48280
188,2025-11-17 10:09:23,35895,51604
189,2025-11-17 10:09:24,36722,51226
190,2025-11-17 10:09:25,38445,47429
191,2025-11-17 10:09:26,36647,53532
192,2025-11-17 10:09:27,41591,50823
193,2025-11-17 10:09:28,46567,53413
194,2025-11-17 10:09:29,42123,51898
195,2025-11-17 10:09:30,37397,50821
196,2025-11-17 10:09:31,13588,18191
