interval,time,sent_kbps,recv_kbps
0,2025-11-17 10:06:15,115.944,130.0
1,2025-11-17 10:06:16,336.376,464.216
2,2025-11-17 10:06:17,370.424,502.432
3,2025-11-17 10:06:18,443.664,490.808
4,2025-11-17 10:06:19,524.304,314.168
5,2025-11-17 10:06:20,350.992,317.544
6,2025-11-17 10:06:21,324.68,355.68
7,2025-11-17 10:06:22,325.04,327.592
8,2025-11-17 10:06:23,313.256,323.544
9,2025-11-17 10:06:24,330.032,326.8
10,2025-11-17 10:06:25,334.448,373.736
11,2025-11-17 10:06:26,390.792,332.576
12,2025-11-17 10:06:27,363.264,339.144
13,2025-11-17 10:06:28,332.44,341.32
14,2025-11-17 10:06:29,365.36,369.208
15,2025-11-17 10:06:30,344.792,419.008
16,2025-11-17 10:06:31,355.24,364.264
17,2025-11-17 10:06:32,427.464,415.504
18,2025-11-17 10:06:33,432.032,411.84
19,2025-11-17 10:06:34,327.648,370.528
20,2025-11-17 10:06:35,426.888,483.632
21,2025-11-17 10:06:36,339.696,390.864
22,2025-11-17 10:06:37,319.904,439.456
23,2025-11-17 10:06:38,391.312,451.0
24,2025-11-17 10:06:39,389.632,469.36
25,2025-11-17 10:06:40,402.84,400.176
26,2025-11-17 10:06:41,378.592,472.4
27,2025-11-17 10:06:42,389.4,470.912
28,2025-11-17 10:06:43,399.856,420.208
29,2025-11-17 10:06:44,360.44,372.968
30,2025-11-17 10:06:45,310.952,432.664
31,2025-11-17 10:06:46,327.864,387.744
32,2025-11-17 10:06:47,382.368,382.56
33,2025-11-17 10:06:48,310.384,387.96
34,2025-11-17 10:06:49,401.048,395.768
35,2025-11-17 10:06:50,347.6,411.84
36,2025-11-17 10:06:51,379.704,388.472
37,2025-11-17 10:06:52,355.432,429.992
38,2025-11-17 10:06:53,354.608,436.136
39,2025-11-17 10:06:54,352.584,451.376
40,2025-11-17 10:06:55,457.608,411.304
41,2025-11-17 10:06:56,376.112,441.544
42,2025-11-17 10:06:57,327.096,457.544
43,2025-11-17 10:06:58,361.384,454.68
44,2025-11-17 10:06:59,402.976,462.944
45,2025-11-17 10:07:00,346.088,406.072
46,2025-11-17 10:07:01,365.632,465.544
47,2025-11-17 10:07:02,386.688,441.592
48,2025-11-17 10:07:03,569.536,331.048
49,2025-11-17 10:07:04,357.688,325.872
50,2025-11-17 10:07:05,336.192,361.2
51,2025-11-17 10:07:06,299.552,359.832
52,2025-11-17 10:07:07,333.408,365.76
53,2025-11-17 10:07:08,357.768,365.56
54,2025-11-17 10:07:09,359.96,398.752
55,2025-11-17 10:07:10,350.344,391.552
56,2025-11-17 10:07:11,374.616,373.232
57,2025-11-17 10:07:12,344.184,409.744
58,2025-11-17 10:07:13,355.12,420.496
59,2025-11-17 10:07:14,357.928,426.272
60,2025-11-17 10:07:15,373.232,399.216
61,2025-11-17 10:07:16,435.52,458.64
62,2025-11-17 10:07:17,375.432,476.648
63,2025-11-17 10:07:18,345.952,416.608
64,2025-11-17 10:07:19,372.672,373.392
65,2025-11-17 10:07:20,447.008,449.432
66,2025-11-17 10:07:21,400.144,419.624
67,2025-11-17 10:07:22,445.544,420.864
68,2025-11-17 10:07:23,367.032,428.832
69,2025-11-17 10:07:24,478.552,472.144
70,2025-11-17 10:07:25,335.696,382.304
71,2025-11-17 10:07:26,424.12,426.888
